Timepoint,cued_E1_0,cued_E1_4,cued_E1_8,cued_E1_16,cued_E2_0,cued_E2_4,cued_E2_8,cued_E2_16,cued_E3_0,cued_E3_4,cued_E3_8,cued_E3_16,uncued_E1_0,uncued_E1_4,uncued_E1_8,uncued_E1_16,uncued_E2_0,uncued_E2_4,uncued_E2_8,uncued_E2_16,uncued_E3_0,uncued_E3_4,uncued_E3_8,uncued_E3_16
t132,3.7377948893290602,3.740468517519447,3.7467744702781323,3.832098346546914,3.761000782913024,3.810998039979574,3.7966811810752694,3.8559896547502284,3.870751831720842,3.901686797327838,3.894921267998672,3.935707954115523,4.0433260319999995,4.106362469171077,3.716493348285714,3.8118232692638885,3.8882022439545443,3.8735416481474636,3.756424686795954,3.8850555207569877,3.92474656783208,3.8966969119055364,3.8532936076301434,3.9374487043290336
t133,3.7376055066227662,3.7416121023851163,3.750399592298578,3.8348475775341924,3.7645739870011687,3.812733847616535,3.7990901607068275,3.8581603271006975,3.8718242188630483,3.9021239651626964,3.8974369127132227,3.938330030278629,4.041834875,4.103378470299824,3.7084804049365077,3.8082514465734127,3.885456769545455,3.8753401474378393,3.7518802881608386,3.884061001120272,3.922959449367795,3.8963237375286064,3.850931963847806,3.936805474857369
t134,3.736238240982906,3.742293587085558,3.7504053440083602,3.8378650782045285,3.7643110899283614,3.813222874745314,3.7993261657812147,3.8613760181211676,3.872749194135049,3.902777876353516,3.897197072245352,3.940195110667682,4.043120348333334,4.111987442504409,3.7154837062777775,3.814367482823413,3.8893612518636353,3.8785095560592744,3.7557891418356646,3.888305466458365,3.927099420595865,3.900296124117311,3.8548488048033653,3.9390664328762393
t135,3.7343962614409483,3.744188001186847,3.750360783032135,3.8406911870425673,3.762403828050812,3.814617949962296,3.8002701484373267,3.8624883284494915,3.8717241740166237,3.9049798249426515,3.8987668308047305,3.94235086165993,4.041007372666667,4.109866397037038,3.7129907279285717,3.811900235569445,3.883074769363637,3.8767343694742755,3.7569622444478012,3.8888424148062333,3.922776042993734,3.8997861122750885,3.856805368452315,3.9388692717438722
t136,3.7386077887797207,3.7419180664365337,3.7514645000082596,3.840034412997587,3.7647655953374026,3.813503310103345,3.8019797126448,3.862916286988631,3.875001882632951,3.9041309987366972,3.899678461234546,3.942000523830689,4.042543198833332,4.11063869691358,3.713426963174603,3.809999196605159,3.8845411414545445,3.876884548872295,3.7570471499675326,3.884369319535641,3.923198307951755,3.8981488507278725,3.8568990384331627,3.9378876129152816
t137,3.7380308094998056,3.7362161842980877,3.753953776649164,3.8406390391308785,3.76572922720273,3.81208898325158,3.8023411803797087,3.863036509915466,3.8749797950973397,3.9042201404676242,3.900062934730517,3.942535006105918,4.043882827833333,4.107968818959436,3.7218018294523807,3.8057367259603176,3.888972987818181,3.8761593494781876,3.7633770634369794,3.884708863354979,3.927334356446116,3.8980577972599,3.8633843569540325,3.9376542039048372
t138,3.7397047687162,3.737622803277823,3.7529575851841224,3.8415638549483218,3.766525467315167,3.8127053965274307,3.8026237927346465,3.8648756605712817,3.8756485937724783,3.9042606201622805,3.9005493322616624,3.9446427903597403,4.046421808500001,4.109063538059964,3.7253831680555556,3.806759056305556,3.890392024045454,3.8761759649803254,3.7665822784418084,3.884063645493272,3.929682960671679,3.899557030444142,3.8655367201691084,3.9378773568049334
t139,3.7394309770165117,3.7359133099172013,3.753613327876841,3.842722475279461,3.767080494250847,3.81273971155265,3.8029699875861396,3.866164097421631,3.877563507812856,3.9053447942028745,3.9015558218313138,3.945934154475747,4.041326501,4.109732269135803,3.7250687177142856,3.8120627759226187,3.8872913021818185,3.875268507366439,3.765086659096403,3.886514871384263,3.9276192581209273,3.8994211547065034,3.8653997161554736,3.939250500111735
t140,3.7388343416017866,3.7359286151181292,3.753226936667563,3.842330860525869,3.766623965040128,3.812704148461634,3.8037441014200093,3.8644430316413283,3.8765560460007977,3.905094588018084,3.902055169839805,3.944121714111038,4.049863741333333,4.112518197989418,3.724239503111111,3.811249281875,3.8920788284090904,3.8756418880987353,3.7644408125168995,3.8855845057857636,3.930844850548246,3.9005504749141067,3.8634663309182096,3.9390211447056345
t141,3.7405507409386174,3.73785555672763,3.7579813471214685,3.8422195856191257,3.7664252556299815,3.813157351359665,3.8050602278735175,3.864801818099803,3.8773154235550664,3.9051513517572998,3.903236824620026,3.9447836702582095,4.044372917666667,4.1069456043915356,3.72830993731746,3.808360590813492,3.8881189405454544,3.875200553703602,3.7680517378828666,3.883847810112769,3.9244291644548874,3.9005259131836945,3.8669494493614813,3.93857290856956
